,date,machine,shift,totalproducedunits,actualproductiontime,totaldowntime,totalgoodunits,plannedproductiontime,operatingtime,availability,performance,quality,oee
0,03/07/23,Machine1,Day,10601,465.0,37,9209.0,535,428.0,86.91588785046729,92.04301075268818,86.8691632864824,69.49533062918593
1,03/07/23,Machine1,Night,12094,450.0,58,10505.0,505,392.0,89.10891089108911,87.1111111111111,86.86125351413925,67.4249730248368
2,03/07/23,Machine2,Day,9700,284.07555995512826,79,3339.774343,580,205.07555995512826,48.9785448198497,72.19049748155786,34.43066332989691,12.173944072422602
3,03/07/23,Machine2,Night,9716,164.07555995512823,24,2155.774343,460,140.07555995512823,35.66859999024526,85.37259296475138,22.187879199258955,6.756477397941174
4,03/07/23,Machine3,Day,10299,390.0,33,7949.0,460,357.0,84.78260869565217,91.53846153846153,77.18225070395184,59.90013804632784
5,03/07/23,Machine3,Night,10334,360.0,43,7650.0,430,317.0,83.72093023255815,88.05555555555556,74.02748209792917,54.573748430333836
6,03/07/23,Machine4,Day,10404,315.0,27,8560.0,415,288.0,75.90361445783132,91.42857142857143,82.27604767397155,57.09759453037061
7,03/07/23,Machine4,Night,9841,510.0,66,8495.0,595,444.0,85.71428571428571,87.05882352941177,86.32252819835382,64.41546642028419
8,03/07/23,Machine5,Day,9190,345.0,67,7856.0,400,278.0,86.25,80.57971014492755,85.4842219804135,59.411534276387385
9,03/07/23,Machine5,Night,13312,330.0,36,5325.0,400,294.0,82.5,89.0909090909091,40.00150240384615,29.401104266826923
10,03/08/23,Machine1,Day,8750,390.0,25,7620.0,490,365.0,79.59183673469387,93.58974358974359,87.08571428571429,64.86997084548105
11,03/08/23,Machine1,Night,11142,390.0,59,9065.0,445,331.0,87.64044943820225,84.87179487179488,81.3588224735236,60.51633761513779
12,03/08/23,Machine2,Day,11507,420.0,34,10163.0,490,386.0,85.71428571428571,91.9047619047619,88.32015295037803,69.57465109968554
13,03/08/23,Machine2,Night,10880,375.0,29,9547.0,505,346.0,74.25742574257426,92.26666666666667,87.74816176470588,60.120522714036106
14,03/08/23,Machine3,Day,12914,360.0,67,10686.0,415,293.0,86.74698795180723,81.38888888888889,82.74740591606009,58.42166249013399
15,03/08/23,Machine3,Night,11202,435.0,70,8112.0,505,365.0,86.13861386138613,83.9080459770115,72.41564006427423,52.3400170761586
16,03/08/23,Machine4,Day,11261,375.0,55,9256.0,430,320.0,87.20930232558139,85.33333333333334,82.19518692833674,61.16851120248316
17,03/08/23,Machine4,Night,8756,420.0,36,6946.0,565,384.0,74.33628318584071,91.42857142857143,79.32846048423939,53.91527225831492
18,03/08/23,Machine5,Day,10502,375.0,22,7805.0,460,353.0,81.52173913043478,94.13333333333334,74.31917729956199,57.03189040596821
19,03/08/23,Machine5,Night,13160,315.0,17,5001.0,400,298.0,78.75,94.6031746031746,38.00151975683891,28.311132218844985
20,03/09/23,Machine1,Day,12732,420.0,70,10904.0,475,350.0,88.42105263157895,83.33333333333334,85.64247565190072,63.104982059295274
21,03/09/23,Machine1,Night,11139,360.0,21,9332.0,475,339.0,75.78947368421053,94.16666666666667,83.77771792800071,59.79083447914157
22,03/09/23,Machine2,Day,11767,450.0,43,9448.0,580,407.0,77.58620689655173,90.44444444444444,80.29234299311634,56.3430751693075
23,03/09/23,Machine2,Night,11553,405.0,47,9823.0,490,358.0,82.6530612244898,88.39506172839506,85.02553449320523,62.120696629729544
24,03/09/23,Machine3,Day,9358,375.0,48,7230.0,460,327.0,81.52173913043478,87.2,77.26009831160503,54.92185249542358
25,03/09/23,Machine3,Night,12775,164.07555995512823,40,6142.774343,460,124.07555995512823,35.66859999024526,75.62098827458563,48.08433927984345,12.96976374178031
26,03/09/23,Machine4,Day,11821,330.0,35,10208.0,415,295.0,79.51807228915662,89.39393939393939,86.35479231875476,61.38473188923531
27,03/09/23,Machine4,Night,12298,330.0,50,9909.0,430,280.0,76.74418604651163,84.84848484848484,80.574077085705,52.466840893017206
28,03/09/23,Machine5,Day,13469,300.0,38,11082.0,400,262.0,75.0,87.33333333333333,82.27782314945429,53.891974162892566
29,03/09/23,Machine5,Night,9783,480.0,53,4089.0,580,427.0,82.75862068965517,88.95833333333333,41.79699478687519,30.771235817233972
30,03/10/23,Machine1,Day,8552,300.0,46,6144.0,400,254.0,75.0,84.66666666666667,71.84284377923292,45.62020579981291
31,03/10/23,Machine1,Night,13081,327.0,18,13081.0,415,309.0,78.79518072289157,94.4954128440367,100.0,74.4578313253012
32,03/10/23,Machine2,Day,10450,345.0,42,7953.0,430,303.0,80.23255813953489,87.82608695652175,76.10526315789473,53.62766217870257
33,03/10/23,Machine2,Night,11585,345.0,25,8733.0,445,320.0,77.52808988764045,92.7536231884058,75.3819594302978,54.20725172515797
34,03/10/23,Machine3,Day,12264,345.0,47,10957.0,460,298.0,75.0,86.37681159420289,89.34279191128506,57.878591281658586
35,03/10/23,Machine3,Night,9995,360.0,65,7923.0,415,295.0,86.74698795180723,81.94444444444444,79.2696348174087,56.34829462924233
36,03/10/23,Machine4,Day,12023,450.0,66,9217.0,565,384.0,79.64601769911505,85.33333333333334,76.66139898527821,52.10261453158732
37,03/10/23,Machine4,Night,12005,405.0,65,10582.0,475,340.0,85.26315789473684,83.9506172839506,88.1466055810079,63.09441241587933
38,03/10/23,Machine5,Day,10189,420.0,81,8339.0,520,339.0,80.76923076923077,80.71428571428572,81.8431641966827,53.355447428222
39,03/10/23,Machine5,Night,13318,525.0,32,5460.0,595,493.0,88.23529411764706,93.9047619047619,40.99714671872653,33.9690644240877
40,03/11/23,Machine1,Day,10994,420.0,42,7800.0,520,378.0,80.76923076923077,90.0,70.94778970347461,51.57358559214116
41,03/11/23,Machine1,Night,9859,495.0,89,6935.0,580,406.0,85.34482758620689,82.02020202020202,70.34181965716604,49.239273760016225
42,03/11/23,Machine2,Day,11650,405.0,56,9114.0,535,349.0,75.70093457943925,86.17283950617283,78.23175965665236,51.03342826200312
